UNNAMED, 09/15/1859, 70
UNNAMED, 09/15/1859, 70
UNNAMED, 09/15/1859, 70
UNNAMED, 09/15/1859, 70
UNNAMED, 09/16/1859, 70
UNNAMED, 09/16/1859, 50
UNNAMED, 09/16/1859, 40
UNNAMED, 09/16/1859, 40
UNNAMED, 09/17/1859, 40
UNNAMED, 09/17/1859, 40
UNNAMED, 09/17/1859, 50
UNNAMED, 09/17/1859, 60
UNNAMED, 09/18/1859, 70
UNNAMED, 09/18/1859, 70
UNNAMED, 09/18/1859, 70
UNNAMED, 09/18/1859, 70
UNNAMED, 08/01/1881, 40
UNNAMED, 08/01/1881, 40
UNNAMED, 08/01/1881, 40
UNNAMED, 08/01/1881, 40
UNNAMED, 08/02/1881, 40
UNNAMED, 08/02/1881, 40
UNNAMED, 08/02/1881, 40
UNNAMED, 08/02/1881, 40
UNNAMED, 08/03/1881, 50
UNNAMED, 08/03/1881, 50
UNNAMED, 08/03/1881, 50
UNNAMED, 08/03/1881, 50
UNNAMED, 08/03/1881, 40
UNNAMED, 08/04/1881, 30
UNNAMED, 08/04/1881, 30
UNNAMED, 08/05/1894, 35
UNNAMED, 08/05/1894, 40
UNNAMED, 08/05/1894, 40
UNNAMED, 08/06/1894, 45
UNNAMED, 08/06/1894, 50
UNNAMED, 08/06/1894, 50
UNNAMED, 08/06/1894, 50
UNNAMED, 08/07/1894, 50
UNNAMED, 08/07/1894, 50
UNNAMED, 08/07/1894, 50
UNNAMED, 08/07/1894, 50
UNNAMED, 08/08/1894, 45
UNNAMED, 08/08/1894, 40
UNNAMED, 08/08/1894, 35
UNNAMED, 08/08/1894, 30
UNNAMED, 08/09/1894, 30
UNNAMED, 08/09/1894, 25
UNNAMED, 08/09/1894, 25
UNNAMED, 08/09/1894, 25
UNNAMED, 08/08/1911, 30
UNNAMED, 08/08/1911, 30
UNNAMED, 08/09/1911, 30
UNNAMED, 08/09/1911, 35
UNNAMED, 08/09/1911, 35
UNNAMED, 08/09/1911, 35
UNNAMED, 08/10/1911, 40
UNNAMED, 08/10/1911, 45
UNNAMED, 08/10/1911, 50
UNNAMED, 08/10/1911, 55
UNNAMED, 08/11/1911, 60
UNNAMED, 08/11/1911, 65
UNNAMED, 08/11/1911, 70
UNNAMED, 08/11/1911, 70
UNNAMED, 08/11/1911, 70
UNNAMED, 08/12/1911, 65
UNNAMED, 08/12/1911, 55
UNNAMED, 08/12/1911, 45
UNNAMED, 08/12/1911, 40
UNNAMED, 08/13/1911, 35
UNNAMED, 08/13/1911, 30
UNNAMED, 08/13/1911, 30
UNNAMED, 08/13/1911, 30
UNNAMED, 08/14/1911, 25
UNNAMED, 08/14/1911, 20
UNNAMED, 08/14/1911, 20
UNNAMED, 10/09/1916, 25
UNNAMED, 10/09/1916, 25
UNNAMED, 10/09/1916, 25
UNNAMED, 10/10/1916, 30
UNNAMED, 10/10/1916, 30
UNNAMED, 10/10/1916, 30
UNNAMED, 10/10/1916, 30
UNNAMED, 10/11/1916, 30
UNNAMED, 10/11/1916, 30
UNNAMED, 10/11/1916, 30
UNNAMED, 10/11/1916, 30
UNNAMED, 10/12/1916, 35
UNNAMED, 10/12/1916, 40
UNNAMED, 10/12/1916, 45
UNNAMED, 10/12/1916, 50
UNNAMED, 10/13/1916, 55
UNNAMED, 10/13/1916, 60
UNNAMED, 10/13/1916, 65
UNNAMED, 10/13/1916, 75
UNNAMED, 10/14/1916, 85
UNNAMED, 10/14/1916, 95
UNNAMED, 10/14/1916, 95
UNNAMED, 10/14/1916, 95
UNNAMED, 10/15/1916, 95
UNNAMED, 10/15/1916, 95
UNNAMED, 10/15/1916, 95
UNNAMED, 10/15/1916, 65
UNNAMED, 10/16/1916, 50
UNNAMED, 10/16/1916, 40
UNNAMED, 10/16/1916, 40
